video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QRxNmuz50P8&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,"The History of Matcha - Tales of Monks, Samurai and Tea Masters and How They Impacted Matcha History",4K,7 months,Get our Book Matcha Masterclass for Free When You Sign Up https://tinyurl.com/23o9vmph ...,2026-01-15 23:34:16.108197
/watch?v=dgldbbjscEs&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,The Complete Beginner’s Guide to Matcha,178K,5 years,Content of this video 0:00 Introduction 00:38 History of Matcha 02:10 Japanese Tea Ceremony 03:11 Production of Matcha ...,2026-01-15 23:34:16.112479
/watch?v=KlFXl--H8eM&t=442s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@BusinessInsider,Business Insider,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive | Business Insider,5.5M,3 years,"The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest quality is ...",2026-01-15 23:34:16.117656
/watch?v=CWtiumdZT-I&pp=ygURaGlzdG9yeSBvZiBtYXRjaGHSBwkJTQoBhyohjO8%3D,/@NightOwlHistory,Night Owl History,Boring History For Sleep | The SHOCKING Origins of MATCHA and more,368,7 months,"Wind down tonight as we dive into the fascinating history of matcha, exploring how it became central to Japanese tea ceremonies, ...",2026-01-15 23:34:16.120423
/watch?v=XKR6Z89yWD4&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,Where Does Matcha Come From? Japanese Matcha vs Chinese Matcha Explained,9.3K,2 years,"Save Big on Premium, Pesticide Free Japanese Green Tea! https://tinyurl.com/2bxwfflm ...",2026-01-15 23:34:16.123205
/watch?v=slBh6ZzOXbE&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@Nioteas,Nioteas TV,Matcha Grades Explained - Ceremonial Matcha vs Culinary Matcha,67K,2 years,Save Big on Matcha and Get Free Shipping Worldwide! http://tinyurl.com/2yom5h47 ...,2026-01-15 23:34:16.124820
/watch?v=xfYDL7EJW-Y&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@TheHistory306,The History,The Fascinating History of Matcha: From Ancient Japan to Modern Day,1K,1 year,"Dive into the fascinating world of matcha, a unique powdered green tea with ancient roots and modern appeal! Discover how ...",2026-01-15 23:34:16.125848
/watch?v=LaLvVc1sS20&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@TEDEd,TED-Ed,The history of tea - Shunan Teng,7.2M,8 years,Trace the origins of tea and find out how it became the second most consumed beverage in the world. -- Tea is the second most ...,2026-01-15 23:34:16.129092
/watch?v=vGMKmbAFpP0&t=442s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@businessinsiderindia9294,Business Insider India,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive Food,5K,3 years,"Matcha The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest ...",2026-01-15 23:34:16.130587
/watch?v=Jgk1jMogAfo&t=44s&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@DiedLearning,DiedLearning,The Matcha Crisis,4.2K,6 months,You can check out that video here: https://youtu.be/NlYkj-pRrjI 0:00 Intro 0:44 The history of Matcha 2:26 From Ritual to Retail of ...,2026-01-15 23:34:16.132138
/watch?v=IATYd2ksprQ&pp=ygURaGlzdG9yeSBvZiBtYXRjaGE%3D,/@The3amScholar,The 3am Scholar,The History of Matcha (Extended) | Learn While You Sleep,74,6 months,Drift into a peaceful sleep while learning everything you've ever wanted to know about matcha. From its ancient Chinese origins to ...,2026-01-15 23:34:16.133494
